age,sex
13,2
5,2
3,2
35,1
12,2
19,1
44,2
7,1
9,2
5,1
14,2
36,1
0,1
21,2
20,2
9,2
15,1
5,1
7,1
12,2
2,1
50,1
4,1
42,1
6,2
50,1
5,1
40,1
28,2
30,2
24,2
8,1
2,2
0,1
35,2
29,2
10,2
14,1
24,2
0,1
1,2
0,2
25,1
38,2
30,2
19,1
5,1
32,2
20,1
5,2
11,1
20,1
2,1
47,1
10,1
8,1
9,2
8,2
20,1
1,1
30,1
16,1
37,2
15,2
53,1
45,1
0,2
11,1
8,2
10,2
4,1
35,1
25,1
19,2
2,1
5,1
18,1
30,2
15,1
15,1
1,2
16,2
28,2
36,2
10,1
6,1
13,2
2,2
31,2
56,1
20,2
15,2
60,1
23,1
49,1
16,2
29,1
6,2
37,2
46,2
5,1
60,1
4,1
22,1
8,1
0,2
20,1
60,2
25,1
3,1
3,1
4,2
7,2
28,1
7,1
65,2
1,1
4,1
23,2
3,2
17,1
48,1
8,2
20,1
7,2
14,2
0,1
27,1
11,2
8,2
7,2
65,2
30,2
21,2
3,1
16,2
12,2
16,2
10,1
4,2
31,2
20,2
20,2
88,1
20,2
30,2
5,2
20,2
50,1
15,1
10,2
16,1
27,2
30,2
31,2
40,1
8,1
55,2
15,1
1,2
16,1
20,2
42,1
30,2
35,1
17,1
5,1
2,2
50,2
13,2
3,1
30,2
58,2
26,2
8,2
0,2
18,2
9,2
46,2
15,2
21,1
50,1
1,2
32,1
2,1
7,2
25,1
45,2
30,1
75,2
43,2
2,2
65,2
8,2
33,2
1,1
18,2
24,1
20,2
11,2
21,1
60,2
0,1
11,2
18,1
30,2
80,2
4,2
43,2
0,1
40,2
42,2
10,1
16,1
5,2
34,1
40,1
12,2
16,1
13,2
5,2
60,2
20,2
80,1
52,2
15,2
19,1
8,2
24,2
11,2
55,1
31,2
50,2
0,1
61,2
34,1
1,1
43,2
44,2
50,1
5,2
31,2
11,1
41,2
10,2
30,1
9,2
21,2
6,1
16,1
64,2
3,2
22,2
18,1
2,1
30,2
2,1
40,1
21,2
50,1
50,2
20,1
15,1
49,1
28,2
6,1
11,2
20,1
14,2
5,2
0,2
20,1
29,1
63,1
48,1
60,2
42,2
37,1
7,2
3,1
1,2
0,1
40,1
4,2
5,2
15,1
12,1
2,2
4,1
24,2
8,2
20,2
38,2
9,1
72,2
84,2
11,1
4,1
26,2
18,1
4,2
0,2
22,2
20,2
41,2
31,1
12,2
15,1
11,1
58,1
20,2
10,2
60,2
35,1
37,1
6,2
4,1
10,1
10,1
5,1
5,2
57,1
1,1
80,2
8,2
61,1
10,2
36,1
40,1
6,1
21,2
0,1
7,2
23,2
4,1
8,1
31,2
18,1
4,1
6,2
8,2
1,2
50,2
9,2
52,2
3,1
35,1
8,1
5,2
40,2
25,2
55,1
31,2
9,2
4,1
12,1
4,1
3,2
25,2
6,2
4,1
60,2
30,2
3,1
18,1
65,1
12,2
55,1
26,1
30,2
22,2
8,1
40,1
16,2
3,1
0,1
66,2
19,2
20,1
30,1
46,2
52,2
12,2
5,2
5,2
38,2
16,1
1,2
30,2
25,1
4,2
20,2
9,1
19,1
4,1
6,1
15,1
41,2
50,1
20,1
16,1
60,2
8,2
8,2
14,2
6,2
45,2
25,2
46,2
49,2
6,2
7,1
20,1
75,2
30,2
0,2
11,1
5,2
53,1
15,2
10,1
17,1
1,2
64,2
8,2
64,2
8,2
87,2
55,2
17,2
30,2
0,2
0,1
5,1
0,1
1,1
5,2
2,2
35,1
24,2
27,2
7,1
35,1
44,2
13,2
38,1
16,1
2,2
10,2
60,2
29,2
1,1
23,1
50,2
8,1
7,2
25,1
6,2
20,2
36,1
40,2
1,1
14,2
57,2
1,1
46,1
13,1
21,1
17,1
12,1
12,2
28,2
37,1
22,2
16,1
54,1
20,1
9,2
10,1
10,1
4,1
14,2
26,2
14,1
0,1
31,1
15,2
30,2
13,2
64,1
7,1
